topic,avg_sentiment,doc_count
64,0.8786452527229602,26
39,0.8163868280557486,39
41,0.7667204957259329,38
135,0.7244745113632896,11
70,0.6696496059497198,24
50,0.6485924816900684,31
125,0.6110431047586294,13
105,0.5220335125923157,16
52,0.45945412537147257,29
120,0.4487420363085611,14
72,0.44195230305194855,24
99,0.30426226928830147,16
108,0.23985169728597006,15
68,0.86630662,25
107,0.677358087,15
104,0.070469175,16
124,0.062771119,13
25,0.030105072,58
119,0.007919703,14
106,0.006535891,16
85,-0.00805935,20
122,-0.077130028,14
96,-0.151218057,17
37,-0.160042321,41
42,-0.205315234,37
100,-0.216471702,16
20,-0.244507739,76
102,-0.261111122,16
17,-0.302287456,86
11,-0.304422901,130
12,-0.324650479,118
56,-0.352274337,28
76,-0.356999993,23
137,-0.360189384,11
129,-0.37754191,12
44,-0.385534304,37
103,-0.385546118,16
82,-0.386801583,21
77,-0.390170432,23
101,-0.396065053,16
130,-0.414770554,12
18,-0.423616748,86
49,-0.433482248,32
21,-0.438173784,69
138,-0.451545574,11
139,-0.453338152,11
3,-0.453445773,197
123,-0.458068871,13
80,-0.461601089,22
29,-0.462249169,53
74,-0.467872831,24
13,-0.469819554,105
46,-0.471587502,34
69,-0.475021882,25
36,-0.476683875,41
134,-0.493008543,11
10,-0.494719594,134
140,-0.497283018,10
4,-0.511322266,168
45,-0.52599654,35
94,-0.52788956,17
2,-0.537746335,203
114,-0.538465496,14
22,-0.540758838,66
112,-0.542840699,15
32,-0.543440731,50
28,-0.547467805,54
54,-0.54818667,28
26,-0.550858798,56
6,-0.552569519,150
24,-0.554461267,58
-1,-0.559231864,5989
116,-0.560191108,14
1,-0.563689136,211
71,-0.564487944,24
14,-0.564510148,102
5,-0.567373869,164
84,-0.571348187,21
65,-0.573122602,26
73,-0.57430548,24
126,-0.577866316,12
117,-0.579487571,14
55,-0.581409908,28
128,-0.58691439,12
118,-0.594203004,14
115,-0.59457122,14
19,-0.598471214,78
93,-0.598580294,17
43,-0.600860083,37
86,-0.600908381,20
53,-0.603002598,29
95,-0.605048215,17
30,-0.606558582,52
98,-0.608197577,16
34,-0.609334592,45
132,-0.61766288,11
16,-0.624516858,92
40,-0.630550844,38
8,-0.635119577,145
62,-0.636602954,27
121,-0.65239604,14
127,-0.661073133,12
88,-0.661318308,19
9,-0.670398672,138
35,-0.670445779,42
63,-0.671366841,26
89,-0.680219252,19
0,-0.682012624,316
59,-0.684475656,27
79,-0.68968245,23
48,-0.690394718,32
57,-0.690510843,27
109,-0.691890923,15
38,-0.693622208,40
78,-0.694952421,23
15,-0.699422559,100
133,-0.699824523,11
60,-0.701058251,27
67,-0.703716948,25
81,-0.70944695,22
47,-0.710937023,34
61,-0.722780153,27
23,-0.729924035,60
27,-0.730506096,56
113,-0.737972224,15
131,-0.740179554,12
97,-0.746060502,16
87,-0.74740639,20
92,-0.747589539,17
33,-0.753828231,48
91,-0.755454246,17
58,-0.755939899,27
7,-0.757055081,150
90,-0.786736247,19
83,-0.794260315,21
111,-0.797095529,15
75,-0.80710274,23
136,-0.831064777,11
66,-0.834231269,25
51,-0.846789062,31
31,-0.867761927,51
110,-0.88596218,15
